pred,prey,predator,feeding
2.53182379,0.607973727,Flagellates,Mixed
58.60785153,4.045192809,Invertebrates,Passive
97.48780144,2.951584688,Invertebrates,Passive
95.0387143,4.112438796,Invertebrates,Passive
107.9317382,4.264601477,Invertebrates,Passive
125.7324893,3.116113441,Invertebrates,Passive
231.54792,2.996073658,Invertebrates,Passive
203.8882814,3.670907833,Invertebrates,Passive
209.1423526,4.750390172,Invertebrates,Passive
314.2227094,4.487682253,Invertebrates,Passive
437.4052364,4.649941764,Invertebrates,Passive
276.6871247,6.733534567,Invertebrates,Passive
146.4690472,7.004031108,Invertebrates,Passive
135.7052611,8.118591,Invertebrates,Passive
122.5738395,20.40128198,Invertebrates,Passive
237.5147624,22.3104478,Invertebrates,Passive
426.4167484,20.29979783,Invertebrates,Passive
869.4137799,24.78872238,Invertebrates,Passive
205.5176674,9.238732884,Rotifers,Passive
143.3588739,8.76908822,Rotifers,Passive
122.8529176,5.972524474,Rotifers,Passive
81.39814826,6.331211041,Rotifers,Passive
73.43816011,3.654256962,Rotifers,Passive
3958.435303,715.8774949,Siphonophores,Active
3888.163372,410.1127071,Siphonophores,Active
4772.43093,316.227766,Siphonophores,Active
7626.948996,304.6989571,Siphonophores,Active
7780.120034,340.6105256,Siphonophores,Active
11685.74203,402.5674992,Siphonophores,Active
8770.273391,594.5570709,Siphonophores,Active
7755.229121,702.7068605,Siphonophores,Active
23780.07641,742.9639508,Siphonophores,Active
30990.01667,756.8891123,Siphonophores,Active
20558.0411,1449.74067,Siphonophores,Active
27884.84635,1745.562824,Siphonophores,Active
92841.45445,1532.79428,Siphonophores,Active
30916.26225,1296.890252,Siphonophores,Active
24215.82912,1226.618972,Siphonophores,Active
24031.49335,6897.785379,Siphonophores,Active
